Name,Symptoms
Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting"
Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects"
Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light"
Secondary Glaucoma,Varies depending on the underlying cause
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain"
Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss"
Ocular Hypertension,Elevated intraocular pressure without optic nerve damage
Low-Tension Glaucoma,"Gradual loss of vision, visual field defects"
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image"
Bulimia Nervosa,Recurrent episodes of binge eating followed by purging behaviors
Binge Eating Disorder,Recurrent episodes of binge eating without compensatory behaviors
Avoidant/Restrictive Food Intake Disorder (ARFID),"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight"
Other Specified Feeding or Eating Disorder (OSFED),Symptoms that do not meet the full criteria for a specific eating disorder
Orthorexia Nervosa,"Obsessive focus on ""clean"" eating, healthy food choices"
Pica,Persistent consumption of non-food substances
Rumination Disorder,Repeated regurgitation and re-chewing of food
Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours
Pyelonephritis,"Fever, chills, back or flank pain, frequent urination"
Rotator Cuff Injury,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness"
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances"
Chronic Fatigue Syndrome,"Extreme fatigue, cognitive difficulties, unrefreshing sleep"
Complex Regional Pain Syndrome (CRPS),"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness"
Myofascial Pain Syndrome,"Localized muscle pain, trigger points"
Chronic Migraine,"Recurrent, disabling migraines"
Neuropathic Pain,"Shooting or burning pain, tingling or numbness"
Gestational Diabetes,High blood sugar levels during pregnancy
Pregnancy-Induced Hypertension,High blood pressure during pregnancy
Gestational Hypertension,High blood pressure without proteinuria (preeclampsia)
Preeclampsia,"High blood pressure, proteinuria, swelling, headaches, visual disturbances"
Hyperemesis Gravidarum,Severe nausea and vomiting during pregnancy
Urinary Tract Infection (UTI),"Painful urination, frequent urination, pelvic pain, cloudy urine"
Anemia,"Fatigue, weakness, pale skin, shortness of breath"
Pregnancy-Related Back Pain,"Lower back pain, discomfort in the pelvic area"
Round Ligament Pain,Sharp or aching pain in the lower abdomen or groin
Placenta Previa,"Vaginal bleeding, painless bleeding in the third trimester"
Carpal Tunnel Syndrome,"Tingling, numbness, and pain in the hand and fingers"
Sciatica,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg"
Varicose Veins,"Enlarged, swollen veins, often in the legs"
Hemorrhoids,"Swollen, itchy, or painful veins in the rectal area"
Gestational Cholestasis,"Itchy skin, particularly on the hands and feet"
Liver Cancer,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting"
Atelectasis,"Difficulty breathing, rapid breathing, chest pain"
Ectopic Pregnancy,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)"
Choledocholithiasis,"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy "
Cirrhosis,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss"
Thoracic Aortic Aneurysm,"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing"
Subdural hemorrhage,"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness"
Congenital rubella,"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth"
Diabetic retinopathy,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss"
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes"
Ischemia of the Bowel,"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure"
Fetal Alcohol Syndrome,"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability"
Peritonitis,"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate"
Abdominal Injury,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool"
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice"
Thrombophlebitis,"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever"
Asthma,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise"
Restless Leg Syndrome,"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief"
Emphysema,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss"
Induced Abortion,"Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress"
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)"
Von Hippel-Lindau Disease,"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts"
Alcohol Use Disorder,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol"
Opioid Use Disorder,"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)"
Stimulant Use Disorder,"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)"
Cannabis Use Disorder,"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)"
Benzodiazepine Use Disorder,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)"
Hallucinogen Use Disorder,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)"
"Sedative, Hypnotic, or Anxiolytic Use Disorder","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)"
Postpartum Depression,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby"
Coronary Atherosclerosis,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)"
Spondylitis,"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases"
Pituitary Adenoma,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments"
Uterine Fibroids,"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)"
Idiopathic Nonmenstrual Bleeding,"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding"
Chalazion,"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling"
Ovarian Torsion,"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting"
Vaginal Yeast Infection,"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area"
Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling"
Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)"
Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs"
Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum"
Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss"
Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract"
Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever"
Achalasia,Difficulty swallowing
Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound"
Abdominal Hernia,"Visible bulge or swelling, discomfort or pain"
Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety"
Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia"
Obesity,"Excessive body weight, increased risk of chronic conditions"
Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste"
Bursitis,"Joint pain, swelling, tenderness, limited range of motion"
Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness"
Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness"
Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash"
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas"
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear"
Astigmatism,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea"
Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities"
Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum"
Presbycusis,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear"
Neonatal Jaundice,"Yellowing of the skin and eyes, pale stools, dark urine"
Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm"
Spondylosis,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities"
Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite"
Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress"
Infection of Open Wound,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise"
Protein Deficiency,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity"
Myoclonus,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face"
Bone Spur of the Calcaneus,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue"
Von Willebrand Disease,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool"
Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms"
Colonic Polyp,"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation."
Hypospadias,"Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination"
Magnesium Deficiency,"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures"
Female Infertility of Unknown Cause,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other"
Pericarditis,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever"
Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity"
Neuromyelitis Optica,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)"
Pulmonic Valve Disease,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles"
Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone"
Cranial Nerve Palsy,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas"
Conversion Disorder,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking"
Complex Regional Pain Syndrome,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion"
Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems"
Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels"
Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating"
Lice,Itching and visible presence of lice or nits (eggs) in the hair
Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue"
Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching"
Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility"
Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss"
Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes"
Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off"
Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure"
Bladder Disorder,"Frequent urination, urgency, pelvic pain"
Chorioretinitis,"Eye pain, blurred vision, sensitivity to light"
Priapism,"Persistent, painful erection"
Myositis,"Muscle weakness, pain, inflammation"
Mononucleosis,"Fatigue, sore throat, swollen lymph nodes"
Neuralgia,"Sharp, shooting pain along the affected nerve"
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts"
Bipolar Disorder,"Mood swings, manic episodes, depressive episodes"
Amyloidosis,"Fatigue, weight loss, organ dysfunction"
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Weakness, numbness, tingling in limbs"
Gastroesophageal Reflux Disease (GERD),"Heartburn, acid reflux, chest pain"
Vitreous Hemorrhage,"Floaters in vision, blurry vision, eye pain"
Antimicrobial Drugs Poisoning,"Nausea, vomiting, diarrhea, neurological symptoms"
Scleroderma,"Thickening of the skin, Raynaud's phenomenon"
Myasthenia Gravis,"Muscle weakness, fatigue, difficulty speaking"
Hypoglycemia,"Shaking, dizziness, confusion, sweating"
Idiopathic Absence of Menstruation,Lack of menstrual periods
Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight"
Carbon Monoxide Poisoning,"Headache, dizziness, nausea, confusion"
Panic Attack,"Chest pain, shortness of breath, palpitations"
Plantar Fasciitis,"Heel pain, tenderness, difficulty walking"
Hyperopia,"Difficulty seeing objects up close, blurred vision when focusing on near objects"
Sedatives Poisoning,"Drowsiness, confusion, slowed breathing"
Pemphigus,Painful blisters on the skin and mucous membranes
Peyronie Disease,"Curvature of the penis, pain during erections"
Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing"
Extrapyramidal Effect of Drugs,"Muscle stiffness, tremors, involuntary movements"
Meniere Disease,"Vertigo, hearing loss, tinnitus, ear fullness"
Anal Fissure,"Pain during bowel movements, rectal bleeding"
Chronic Otitis Media,"Ear pain, hearing loss, recurrent ear infections"
Hirschsprung Disease,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)"
Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue"
Lymphedema,"Swelling in arms or legs, feeling of heaviness or tightness"
Bladder Cancer,"Blood in urine, frequent urination, pelvic pain"
Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness"
Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights"
Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg"
Sciatica,Pain radiating from the lower back to the leg
Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones"
Stress Incontinence,Unintentional urine leakage during physical activity
Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination"
Hydrocele of the Testicle,Swelling of the scrotum
Hirsutism,Excessive hair growth in women
Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen"
Diverticulosis,"Abdominal pain, bloating, changes in bowel movements"
Pain after an Operation,"Surgical site pain, discomfort, swelling"
Huntington Disease,"Motor, cognitive, and psychiatric symptoms"
West Nile Virus,"Fever, headache, body aches, rash"
Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue"
Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering"
Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin"
Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction"
Scleritis,"Eye redness, severe eye pain, blurred vision"
Pterygium,Growth on the conjunctiva (white part of the eye)
Fungal Infection of the Skin,"Rash, itching, redness, peeling skin"
Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)"
Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels"
Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability"
Orbital Cellulitis,"Eye pain, swelling, redness, vision changes"
Injury to the Leg,"Pain, swelling, bruising, difficulty walking"
Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors"
Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss"
Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver"
Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems"
Syringomyelia,"Muscle weakness, loss of sensation, chronic pain"
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue"
Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations"
Parkinson Disease,"Tremors, stiffness, slowness of movement"
Gout,"Intense joint pain, swelling, redness"
Otitis Media,"Ear pain, fever, fluid drainage from the ear"
Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding"
Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion"
Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue"
Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain"
Intracranial Abscess,"Headache, fever, neurological deficits"
Gum Disease,"Swollen, red, tender gums, bleeding gums"
Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound"
Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools"
Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp"
Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat"
Torticollis,"Neck pain, stiffness, and abnormal head positioning"
Antihypertensives Poisoning,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting"
Tension Headache,"Mild to moderate head pain, tightness or pressure sensation on both sides of head"
Alcohol Intoxication,"Slurred speech, impaired coordination, confusion"
Scurvy,"Fatigue, swollen and bleeding gums, joint pain"
Narcolepsy,"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)"
Food Allergy,"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms"
Labyrinthitis,"Vertigo, dizziness, nausea, hearing loss, ear pain"
Anxiety,"Excessive worrying, restlessness, increased heart rate, panic attacks"
Impulse Control Disorder,"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges"
Stenosis of the Tear Duct,"Excessive tearing, eye discharge, recurrent eye infections"
Abscess of Nose,"Pain, swelling, redness, discharge from the nose"
Omphalitis,"Redness, swelling, discharge, foul odor around the umbilical area"
Leukemia,"Fatigue, pale skin, frequent infections, easy bleeding or bruising"
Bell Palsy,"Facial weakness or paralysis, drooping of the mouth or eyelid"
Conjunctivitis due to Allergy,"Redness, itching, watery discharge, swollen eyelids"
Drug Reaction,"Rash, itching, swelling, fever, respiratory symptoms"
Adrenal Cancer,"Abdominal or back pain, unexplained weight loss, hormonal imbalances"
Myopia,"Blurred distance vision, eyestrain, squinting"
Osteoarthritis,"Joint pain, stiffness, swelling"
Thyroid Disease,"Fatigue, weight changes, mood swings, dry skin"
Pharyngitis,"Sore throat, difficulty swallowing, swollen lymph nodes"
Chronic Rheumatic Fever,"Joint pain, fever, rash, heart inflammation"
Hypocalcemia,"Numbness or tingling in fingers or around the mouth, muscle cramps"
Macular Degeneration,"Blurred or distorted central vision, blind spots"
Pneumonia,"Cough, fever, chest pain, difficulty breathing"
Cold Sore,"Small, painful blisters on the lips or around the mouth"
Premature Ventricular Contractions (PVCs),"Skipped or extra heartbeats, palpitations, lightheadedness"
Chancroid,"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin"
Testicular Cancer,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape"
Hydrocephalus,"Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants"
Breast Cancer,"Breast lump, changes in breast size or shape, nipple changes, breast pain"
Anemia due to Malignancy,"Fatigue, weakness, shortness of breath, pale skin"
Esophageal Varices,"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools"
Endometrial Cancer,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits"
Cystic Fibrosis,"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin"
Intertrigo,"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation"
Parathyroid Adenoma,"Fatigue, weakness, bone pain, frequent urination, kidney stones"
Glucocorticoid Deficiency,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain"
Temporomandibular Joint Disorder,"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth"
Wilson Disease,"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)"
Vesicoureteral Reflux,"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)"
Vitamin A Deficiency,"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system"
Gonorrhea,"Painful urination, abnormal discharge from the genitals, pelvic pain"
Fracture of the Rib,"Chest pain, difficulty breathing, tenderness or swelling over the ribcage"
Ependymoma,"Headaches, nausea, seizures, changes in coordination or balance"
Hepatitis due to a Toxin,"Fatigue, jaundice, abdominal pain, nausea, vomiting"
Vaginal Cyst,"Small lump or swelling in the vaginal wall, discomfort or pain during intercourse"
Chronic Knee Pain,"Persistent knee pain, stiffness, swelling, limited range of motion"
Pinguecula,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea"
Hypergammaglobulinemia,"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions"
Pituitary Disorder,"Various symptoms depending on the specific disorder, including hormonal imbalances"
Kidney Stone,"Severe pain in the side or back, blood in the urine, frequent urination"
Autism,"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors"
Cat Scratch Disease,"Swollen lymph nodes, fever, fatigue, headache, rash"
Chronic Glaucoma,"Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights"
Retinal Detachment,"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss"
